scenario,AR с короткими лагами,AR с сезонным лагом,AR(1),AR(30),AR(7),Dense-сеть,GRU,Naive (t-1),RandomForest,Seasonal naive (t-365),Лучшая нейросеть,Лучший нейросетевой MAE,Преимущество лучшей нейросети над RandomForest
Короткая история,1.898515562108915,1.8958796781473954,1.933934659459387,3.7260523903129115,3.5965448354916925,1.8634440999207202,1.813172688458967,1.9463043806335947,1.9349595231550545,4.203216209173943,GRU,1.813172688458967,-0.12178683469608753
Средняя история,1.8963596403897438,1.8932237344625364,1.9372739675938926,3.760975781235748,3.602438635778638,1.8304415623127737,1.8103963456433894,1.9463043806335947,1.8964941437385552,4.203216209173943,GRU,1.8103963456433894,-0.08609779809516582
Длинная история,1.8934321135629875,1.896887784995027,1.9403157507436029,3.815458111529937,3.629568674813272,1.8106648796193539,1.759483295019218,1.9463043806335947,1.848237498796618,4.203216209173943,GRU,1.759483295019218,-0.08875420377739984
Максимум качественной истории,1.887565086194329,1.892541480846689,1.9349237958077492,3.8562093028053237,3.6292216351491993,1.7912872471736603,1.8228823669334329,1.9463043806335947,1.8314258411602016,4.203216209173943,Dense-сеть,1.7912872471736603,-0.04013859398654129
